crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21
276,5,0.2242688094,0.0637150606,-0.1025228771,0.3234045552,-0.1857076377,0.0720162687,-0.08391586,0.1467066033,-0.4530150044,0.0560963659,-0.0922498039,-0.3239462446,-0.3114465621,-0.2409734874,0.3947822307,0.222603006,-0.4459214818,-0.2903817541,-0.0376295341,0.1346248331,0.2891256543,-0.3107122852,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
277,6,0.224262805,-0.1948278091,-0.4012925098,0.240375256,-0.3325657012,-0.2109022229,-0.144478027,0.0524981739,0.2548704834,0.092790725,0.4623855486,0.1620876249,0.2495035327,-0.1969433567,-0.0203686064,0.4771615037,0.3686257178,-0.3267843399,0.1693053451,-0.3299883223,0.2376011883,-0.1408352037,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
278,5,0.2242197783,-0.3598084317,0.0342791652,0.3145480218,-0.173645422,-0.0995895016,-0.087133441,0.0551492691,0.0480797375,0.4961614084,0.0907650343,0.0902678391,-0.4730243825,0.2793690474,0.2722995159,0.1790667569,0.2037900185,-0.3116362155,0.029814049,0.448919416,0.1124582029,-0.2040800338,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
279,3,0.2242179777,-0.2649298128,0.221764362,-0.0539390747,0.0639087108,0.4946069361,0.2973096774,0.3687611032,-0.0729381618,0.2707354534,0.1441442866,-0.1812412284,-0.1019742708,-0.1999273015,-0.160653935,0.184880593,0.0129104849,0.0920099487,0.4881228163,0.0056323844,0.0029931861,-0.4866389829,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
280,5,0.2240957147,-0.0318701885,0.3455263083,0.2712810505,-0.222847935,0.1610780553,-0.3596161564,0.3726409907,0.253302203,-0.0441676389,-0.2705144248,-0.4803292058,-0.0950132258,0.0157965339,-0.0130665003,0.0066782564,0.0516183163,-0.2913712686,-0.3428053817,-0.3063365118,-0.2020242036,0.2544701947,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
281,5,0.2240461755,-0.4146638281,0.3218250604,0.1476965654,0.112275897,0.0809091535,-0.141643065,0.199742232,-0.4911253672,-0.0417333865,-0.2008378739,-0.3770149383,-0.2777121052,0.4872278797,-0.1475726382,-0.0522348073,-0.156276922,-0.3124228173,0.1634555891,-0.3050170118,0.1873444043,-0.2654369286,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
282,3,0.2239278297,0.2042410151,0.2891742953,0.1115046038,0.2674390686,-0.0712199653,-0.3630389957,-0.3552233004,0.0041391866,0.2718958698,-0.3254911426,-0.103343259,-0.1618531538,0.0815786461,-0.1354665528,0.0393326881,-0.1387612219,0.4962257204,-0.088630016,-0.0122210634,-0.2029122385,0.4720304896,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
283,1,0.2239133971,0.1464530214,-0.2508118232,0.0604915665,0.0202796323,0.2339643255,-0.0724332773,0.4679680867,0.2326951777,-0.0613714657,0.2497617225,-0.053409588,-0.3279778757,-0.4568989881,-0.1116366312,0.2149246762,-0.0538015562,0.0474206645,0.3278944932,-0.2562790326,-0.4147532937,-0.0466489464,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
284,4,0.2238901678,-0.2303638962,-0.1401429082,0.305125381,-0.0871830257,0.3122659336,-0.0767375072,-0.4544839908,-0.3691365894,-0.0248383233,-0.4427564622,0.2350722666,0.1842527202,0.1132811625,-0.3198024383,0.0812107626,-0.2494561676,-0.0567785476,-0.2716242126,0.3310841258,0.0097143176,-0.1297105655,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
285,5,0.2238786937,0.4516887269,-0.0221164116,0.0275833185,0.1663734864,0.2644785019,-0.3430500865,-0.1681905688,0.3728676378,0.0377962906,0.0393119973,-0.2381970414,0.1162735442,-0.1692769991,-0.0002176065,-0.2097777349,0.1959215908,0.0899265367,0.3776067238,0.2653411364,-0.3060066651,-0.2642516954,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1
286,3,0.2238158269,0.4858814467,0.2783191976,0.0494702635,-0.0391939242,-0.0611587234,-0.240529834,-0.1182553768,-0.4662100883,0.1212820749,0.2504715724,-0.3793684333,-0.1171986613,0.1819100981,-0.2295433385,0.3542276368,-0.0753406181,0.09191687,0.1785589119,-0.4425411155,-0.1576443499,0.1214879923,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
287,3,0.2237656004,0.1812576311,0.2447668322,-0.0607963055,0.4746077043,-0.078027303,0.2847597131,-0.1140804292,-0.3625669351,-0.0402535957,-0.086151376,0.3333842804,0.2869443286,-0.0939944008,-0.0056161944,-0.3094503563,-0.3743108008,0.2025281039,-0.0294809937,0.4393182288,-0.3906139513,-0.0335615368,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
288,5,0.223619286,-0.4854453516,0.1765070258,-0.2061926761,-0.2442386257,-0.0470684669,0.1112929332,0.0625762628,0.2990235096,0.1504934321,0.3552079603,-0.2799044038,0.2144220491,-0.0716973984,-0.3607785757,-0.3547969003,-0.2999954539,-0.4793471256,0.0110498399,0.1444185388,-0.0553073214,-0.1098406696,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
289,4,0.2235881378,-0.244959778,0.183497244,0.2156113486,0.1530691385,0.1010653373,-0.1381134969,-0.1429886945,-0.2340708492,-0.137770587,0.4193613321,-0.3018681078,-0.0758621551,-0.4092808881,0.1688625959,-0.2000219288,0.0827401984,0.4679696711,0.1076540183,0.4273402456,-0.100975183,0.323568679,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0
290,5,0.2235549986,-0.1674709017,0.1035149697,0.5070397608,0.4242026671,0.043203842,0.2141149661,-0.3110044482,0.3367197633,-0.1593320835,-0.3311579858,-0.3208740722,0.1274765688,-0.0556427977,-0.0645285971,-0.2793863259,0.0086230605,0.1626002285,0.1003369229,0.1036354622,-0.4085518666,0.1838202605,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1
291,6,0.2235268307,0.0913846579,-0.4100145393,0.2156544826,-0.2435103562,0.2684512919,0.334327828,-0.4675654478,-0.0291829112,0.0451530807,0.1024943805,0.1854227011,-0.3250581081,-0.2769039939,0.3309636415,-0.138693722,-0.1251471718,-0.2485326965,-0.1405681408,0.1321057337,0.1551904295,0.1199881297,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0
292,5,0.2235254377,-0.0576524838,0.0549087225,-0.2246786818,0.2517924567,-0.3560588802,-0.1661647776,-0.4522983997,-0.0868892704,0.2101901202,-0.0882284472,-0.3312412205,0.1230139801,0.4292784344,0.3290278887,0.0968615897,0.1554205319,-0.1073506352,0.4236178159,0.0004604016,0.2343959427,0.1806134542,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
293,5,0.2235040074,0.2298688262,0.2096492838,0.2931516302,-0.1393951237,0.2963109395,0.041943663,-0.4680851529,0.0257684109,-0.0943859757,0.0238873153,-0.3018280835,-0.0660506222,-0.1459431953,-0.0800979538,0.2829615734,0.4557968161,-0.4090337193,-0.0238925836,0.1559284228,0.0289869977,-0.3361296724,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
294,4,0.2234218028,0.0148794488,0.2422796466,-0.5145162871,0.4306995081,0.2565991528,0.1700154953,-0.2098391142,0.2343506361,-0.1146767671,0.438903427,0.005773227,-0.2697244218,-0.1906338998,0.0896832701,0.3385975521,0.1159541542,-0.0312839424,0.0368693523,0.1032512071,-0.477705619,0.0221883488,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
295,6,0.2234028842,0.1486762327,-0.4053469606,-0.0027200292,-0.4624671135,-0.1154886536,0.046815915,-0.2303208189,-0.3233189987,-0.2832058805,0.0089741406,0.043023244,-0.3735755567,-0.2151457755,0.2837089647,-0.0711254917,-0.1459461287,0.0595484519,0.3091360869,-0.0567084216,-0.3702398918,0.39252677,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
296,2,0.2234003938,0.3377662873,0.2751288031,0.1167515179,-0.0813949439,0.4135277378,0.0476100618,0.2527735374,-0.1711661521,-0.1188060416,-0.2446205703,0.0460395263,0.2423939243,-0.1628464251,-0.0240427044,-0.1912331204,0.3490981308,-0.1250969643,0.3150489415,-0.0435903595,-0.319007769,0.4035096291,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
297,6,0.2233784775,0.2755419105,0.1800995308,0.1906275323,-0.0019801662,-0.0258521262,0.5772673686,0.2480199411,-0.2758522283,0.2237140771,0.1529769158,-0.1311118921,-0.3422722302,-0.1569376596,0.0794071962,0.0825933244,-0.102286258,-0.3453271962,-0.0447083001,0.0983260767,0.2936224403,-0.2149701664,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
298,4,0.2233615114,0.0791729559,0.1309381285,0.1843175456,0.2687303082,-0.3699727364,-0.2015634705,-0.1180266603,0.2172017125,-0.207131514,0.4361382341,0.1172438901,-0.0839169008,0.0648093222,-0.3632499156,0.195843746,-0.309130004,0.3957860043,0.1550129646,-0.3320546773,-0.1587784264,0.1799743931,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
299,6,0.223360367,0.0067452908,-0.4379052548,0.0021806281,0.0313904918,-0.2034455535,0.4332578547,-0.0385659469,0.1244800432,-0.075276964,-0.3516677634,-0.1929335582,-0.1031206757,0.3210515138,-0.019950705,0.1469266704,0.2793349642,-0.0690630719,-0.3223386719,-0.0926245393,-0.0817471176,-0.5694108413,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1
300,4,0.2233202699,0.0873580791,0.2077897701,-0.1069952095,-0.2766281019,-0.2286727138,-0.2239901338,-0.0594365545,-0.0297813704,-0.5597844715,0.4584318087,0.0262763841,0.1929707086,0.1735562719,-0.2255183101,-0.0414074739,-0.1919771184,-0.2509094729,0.2139910409,-0.1580174822,0.3054717923,0.2531947798,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
301,5,0.2233159389,-0.0159145276,-0.1029104244,-0.3236040439,0.066702615,0.219718426,0.5011701671,-0.0842240251,0.44747021,-0.2651711705,0.1394246154,-0.1058071272,0.0951338145,-0.2097001295,0.1663636826,0.1544212254,0.2854842102,0.4298640406,-0.0151994166,-0.4291688677,0.1654125302,-0.2345679809,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
302,2,0.2232791664,0.03932473,0.4968739757,0.2146751489,0.4570623179,-0.4017270512,0.0145466196,0.1015012401,-0.4481852754,-0.2515967589,-0.2036388042,-0.1474684521,-0.125607513,-0.237797822,0.2975561255,-0.1114430725,0.1289889606,0.107042506,-0.2805180898,0.4295746161,0.0430451691,0.0434679426,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
303,4,0.2232763959,-0.1240287991,-0.2386907589,0.069868506,0.1715349874,-0.1100382384,0.4600089385,0.1384025466,0.0344901827,-0.3347095242,0.1779437968,-0.4840834461,-0.1492305041,0.4150365292,-0.1955287991,0.0955809496,0.1284418011,0.1469179117,0.0973439276,-0.316362419,0.159035021,0.1349175543,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
304,5,0.2232227309,0.0865724932,-0.0835744514,0.0261778015,-0.0833154464,0.2049425042,0.4746307391,-0.1849010993,0.0755923891,-0.4392187517,-0.2886654515,-0.4518366405,0.0640289844,0.4682527846,0.1434560035,-0.1664443906,0.102046768,0.3810188258,-0.0727928588,-0.3450619614,-0.0303456658,0.1999640511,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
305,6,0.2231554666,0.1292792526,-0.0092985732,0.2015900461,0.3132237154,0.3844147787,0.0369970574,-0.2298496854,0.3090304358,-0.1229668115,-0.151713693,-0.2052006522,-0.2342965317,-0.2447078264,0.2080559994,0.3115177659,0.4936412959,-0.2073661258,0.0366567408,0.1435545956,0.1256689275,-0.2846493687,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1
306,3,0.2231553482,0.2880890491,0.1069927362,0.0270227264,-0.1437633008,-0.2686899019,0.1531932366,0.2654601963,-0.4324795696,0.0831767246,-0.2977508817,-0.0343279533,-0.1940178515,0.1158535508,-0.1887361593,-0.2594604586,-0.0013778482,0.0965356162,0.3665706991,-0.346095467,0.3617939175,0.0058408543,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
307,7,0.2231261938,-0.2818573205,0.1495043018,0.2530297074,-0.1928366264,0.313262192,-0.2807232497,0.3812504154,0.2455999113,-0.1660011453,-0.467275192,-0.1566437954,-0.0134937416,0.1589380421,0.2103499429,0.2867706287,0.0457585008,-0.0485371768,-0.1743523167,0.1747295851,-0.4173976012,0.041169469,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1
308,4,0.2229755881,0.1608580444,-0.2630243708,0.1288277692,-0.0874105949,-0.019440081,-0.1869301505,0.0438978115,0.0648057964,0.5966489005,0.4186131397,0.0720063478,-0.0132608688,-0.2170904207,0.0176084986,0.2381380784,0.2718585728,0.0731387351,-0.4343716219,0.1246837967,0.3039288069,0.228999254,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
309,6,0.2229640863,0.1086588854,0.1866269413,-0.3879055321,-0.3387759314,0.0303957833,0.0096919427,0.0560937022,-0.1571419007,-0.0783962257,0.2821981777,0.0703877701,0.241191295,-0.0648804068,0.3028661125,0.3972112032,0.2419669584,-0.4963941154,0.1434393076,-0.0246491875,-0.130352002,0.4949631906,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
310,5,0.2229579582,-0.0929590258,0.3742544505,-0.2044426714,0.1247709814,-0.2715091193,0.0042622107,-0.1153822845,-0.0581146099,-0.382137863,0.4523427787,0.3468761254,-0.1054117969,-0.3246992631,0.1239181672,0.2098983714,-0.2514854028,-0.3149420795,0.2396039108,0.0010313398,0.2719413794,0.4760368833,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
311,3,0.2229254565,0.4483442906,0.1850182759,-0.0386270298,0.0422291988,0.1861826741,-0.5300066088,-0.1160484863,0.1045311777,0.0118824815,0.0377115319,0.4722005842,-0.1880177459,-0.0603016034,0.1528471959,0.4515879329,-0.0395496081,-0.4527895963,0.2446337071,-0.1643343992,-0.1616240539,-0.3425366205,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
312,5,0.2229080032,-0.2304145934,0.1528574424,-0.221796035,0.062016131,0.405237335,0.1413541285,0.3537634555,0.0688800472,0.1636965853,-0.0208158396,-0.0144102807,0.4244152638,0.1804034321,-0.1919233711,-0.3567467751,-0.4697095804,-0.3385461411,0.1237711086,-0.064912226,-0.1863598131,0.0154644371,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
313,4,0.2228989175,-0.4223335611,0.2354390294,-0.1744610927,-0.0495032066,-0.2522773802,-0.2880352373,-0.1635846483,0.0719724353,0.1496737288,-0.1705082719,-0.486145351,0.2082218494,0.034269438,0.3148785993,-0.3540951167,0.2096542092,0.3384755268,0.0550736465,0.1697113628,-0.2196749888,0.0987693211,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
314,4,0.2228924929,-0.3783466316,0.130275113,-0.1158405849,0.113500616,-0.2067210724,-0.0698133295,-0.1561726257,0.057759483,0.3273159051,0.4431853426,-0.1283238042,0.2674558493,-0.2587828882,-0.2524074565,-0.3107324039,0.0468881411,0.2321793329,-0.0291504953,0.4067280357,0.4815283597,0.0549004813,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
315,4,0.2228876783,0.1773949807,-0.2568537044,-0.0706842172,0.2307887768,0.1025738717,0.3522078516,-0.3927422424,-0.1323316929,0.3097090165,-0.0329171457,-0.395172995,0.2972182863,0.0365137833,0.0002722767,-0.6740530342,-0.1503255156,0.2030348228,0.1439408065,-0.1239206114,0.0127959392,-0.2583372278,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
316,3,0.2228560415,0.0440187288,-0.1484605231,0.137218202,-0.2598698034,-0.4604041952,0.0155216719,0.3679279703,0.3635539679,-0.1551652794,0.0138145789,-0.3671482825,-0.323682477,0.3860168045,-0.1911064457,-0.1529955243,-0.3010281887,0.0972477237,-0.0204425251,0.0549729641,0.0751997985,-0.2877182801,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
317,2,0.2228545597,-0.3356527896,-0.4235721013,0.1255201377,0.229481616,-0.0576686275,-0.0171565833,-0.1266562376,0.2278563211,0.3266861694,0.1407801682,-0.4568082687,0.1602589757,-0.0679505766,-0.2777170092,-0.4427495389,0.227017313,0.3365424974,-0.22511859,0.1635878522,-0.0967127532,0.4219222109,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
318,4,0.2228260529,-0.4697383368,0.1014874686,0.065569519,-0.2345479681,-0.2021806703,-0.3015230186,-0.0598179283,-0.1905667355,0.3350593749,0.3506387385,-0.310919013,0.2099735594,-0.2649038379,0.4963110373,0.09319156,0.3287831163,-0.1797322025,-0.2153712063,0.0542675727,0.4692045764,-0.2166481564,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
319,4,0.2226716052,0.2199100824,-0.2630119337,-0.0748719255,0.1786195406,0.2063705711,0.0142330989,-0.0586841084,0.095702742,-0.3887877164,-0.2436780997,-0.3238601031,-0.1385178455,-0.2015851673,0.368142083,0.1803804263,-0.4619385974,0.0588670299,-0.2034244951,-0.482007368,0.0274115915,0.2403528992,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
320,6,0.2226085499,0.3309040732,-0.3031468958,-0.0502578195,-0.0273639022,-0.0262709281,0.268311375,0.1891486002,-0.0507932514,-0.419578882,0.4519159975,0.008348627,0.2822781772,-0.2533647977,-0.0971483062,-0.4037243052,-0.0329388189,0.3050591127,-0.0290227643,0.4781987825,0.142394524,-0.1414660603,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0
321,4,0.2225363399,-0.2233702166,-0.2605290101,0.2425656221,0.2294118864,-0.1399322543,0.3143574206,0.1087905638,-0.2302030933,-0.2255884514,-0.2948917286,0.3172703229,0.0495937249,-0.3123535406,-0.1005022926,-0.1630981648,0.1143850061,0.4804299662,0.1125315958,0.3185995907,0.1152489214,-0.039221158,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1
322,5,0.222526448,-0.0439317687,0.3135722993,0.4201703957,-0.1910489881,-0.3484138323,0.0742190349,-0.3315780041,0.151586168,-0.0321860829,0.3069559003,0.3563128779,-0.1918773983,0.1704171076,-0.1436871224,0.2339103502,-0.011313496,0.0788393257,-0.3325369145,-0.0113134962,-0.3662135702,-0.3325369147,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
323,3,0.2225064977,0.3494019487,0.0510647372,0.1024565689,0.1183389819,-0.086846458,0.550196962,0.3164317332,-0.1644562835,-0.2854870103,-0.1279228638,-0.2681837703,0.2269192971,0.1744422347,0.4396975423,-0.1399487859,-0.0951873835,0.1323211403,0.0357104938,-0.1177600495,-0.233538164,-0.2166266028,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
324,6,0.2225015532,-0.2831064784,0.4625063433,0.0916830158,0.1092409141,-0.0365561314,-0.0046221782,-0.0173462417,0.2010174058,0.4912259387,-0.0239998791,-0.3618831774,0.4079937719,0.3341581327,-0.0999656156,0.3740851584,-0.1431852864,-0.1089170327,-0.3638890399,0.1936423143,0.3953337335,-0.0707683259,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1
325,4,0.2224717476,-0.0151813311,-0.0139427658,-0.5958641177,-0.3805158052,0.0428277278,-0.2036741229,0.1252232809,-0.226281444,-0.2309346113,-0.2837490689,-0.1420302352,0.1893124498,0.2185935044,0.1750507641,-0.0630382917,0.0263585007,0.1409203127,0.3367810796,-0.1226821392,0.4042429905,-0.2332633554,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
326,5,0.222449655,-0.1831104713,0.264718476,0.1266405038,0.2929099655,0.3660753821,0.064527937,0.2516498113,-0.0922127997,-0.1642806031,-0.2311057531,-0.1767497676,0.3294530272,-0.3276675973,-0.2230854077,-0.1023619965,0.1778039736,-0.0128761088,0.2672143305,-0.1178069845,0.1216714984,-0.2895426444,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
327,7,0.2223220817,0.007334807,-0.0907678689,-0.4683628994,0.2209166264,0.0340998131,-0.077268779,-0.0740474294,-0.0991034571,0.4844803305,0.3620330291,-0.0454274948,0.4162076646,-0.0061081632,0.3156127118,0.3392109685,-0.400062509,-0.1755742189,0.0638275724,0.0158635223,-0.3327258294,0.0679916928,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1
328,5,0.2222555268,-0.2465593385,0.3265296076,0.299952918,-0.1100909382,0.0742592135,-0.3433973328,-0.1783250102,-0.2996054926,-0.0217225396,0.1862625002,0.4463634293,-0.0101365401,0.457087162,-0.0455748345,-0.033307764,0.0548058852,0.046234883,0.1320126127,0.0885439153,-0.1454462263,0.5316501666,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
329,4,0.2221453869,-0.0939849704,0.2357005724,-0.4413505685,-0.0834868991,-0.0904014365,0.102802104,0.3227802031,0.0161904364,-0.4203522893,0.2445089249,0.1844427839,-0.0166704267,-0.0882116361,0.0744572443,0.558904603,-0.281005897,-0.138704787,-0.2922261525,-0.4203261395,0.1445952098,0.2722429312,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
330,5,0.2221313323,-0.0535363351,-0.0957557633,-0.4124356419,-0.2693195216,0.3505789112,-0.1052614965,0.1736909317,-0.2951197859,-0.0726098361,0.3454130183,0.0964493837,-0.376856008,-0.1557237352,-0.0378661872,0.0779752862,0.0624296304,0.2193120966,0.4199200102,0.1565208621,0.2651284948,-0.0118403558,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1
331,4,0.2221265016,-0.0545018279,0.2836892369,0.263104655,0.4383210302,0.1567914614,0.0512793942,-0.1635736648,-0.4461404723,-0.2358473647,0.0834035557,0.0694350186,-0.5781286971,0.2148425456,-0.2827005059,-0.0701691221,0.0386179031,0.1192620628,-0.1389564736,0.1459803801,-0.3333930057,0.3657769796,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
332,4,0.2220195083,-0.2893345193,0.3597956135,-0.0476674548,0.4363272264,-0.0251748387,0.2702732186,0.0496310696,-0.168957069,-0.1230699923,-0.213153421,0.0583690875,-0.3995438255,-0.1913819568,-0.0224340808,0.5122705,-0.3915298281,-0.2106426943,-0.0946091322,0.1039066467,0.2128513474,0.0970371309,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
333,5,0.2220068651,-0.3191440456,0.2195892451,-0.1453466418,0.1659990638,-0.1108683205,-0.0041454921,-0.0236771568,-0.0296270166,-0.4721635348,-0.2620784703,-0.2500173504,-0.1692755404,-0.0066008157,0.260536863,0.1673644606,-0.1474663818,0.0302068804,0.5198601116,-0.1317821771,-0.3213849452,0.2491473737,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
334,4,0.2219248418,0.4428920519,-0.1539510838,-0.0170134199,-0.2391042131,0.1364314501,0.0904768133,0.1666429539,0.2423469807,0.2359198556,-0.0537538933,-0.3730816021,0.2128418031,0.0211604963,0.0083055117,-0.4469812738,0.0953394407,-0.3562297727,-0.2048778819,-0.2224445601,0.3485606759,-0.2990436472,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
335,5,0.2219231942,-0.0365929857,-0.1146415945,0.0847938822,0.4254066356,0.1644834056,0.058849059,-0.3032111381,0.1577647373,-0.2923011353,-0.2337071399,-0.4980311943,-0.020837749,0.1410410172,-0.1259295443,-0.321799723,0.0794833536,0.2388406331,0.3268191179,0.3842010043,-0.275557168,0.0180304615,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
336,4,0.221915269,0.3099312522,-0.1292593446,0.0722143948,-0.1208914139,-0.1295381625,0.2444358553,-0.1208914896,0.3704620737,0.2444359392,-0.2913698093,0.3704620737,-0.1653477708,0.0438684966,-0.3795381201,-0.3140115581,0.0438696554,0.1204620314,-0.3140085476,-0.2913697336,-0.1295381625,-0.1653478547,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
337,5,0.2218735049,0.045523782,-0.3948574701,-0.1340506955,-0.078838517,0.2005721374,0.3003718924,0.206940214,0.0795349554,-0.4928036939,0.3744559159,0.3539305,0.025972978,-0.2679219088,-0.0834598693,-0.1752179402,0.0769735934,-0.2126348194,0.34389207,0.4549382554,-0.0578651338,0.1703972067,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
338,5,0.2218138109,-0.2314819046,-0.0926551517,-0.3817782372,0.3010800821,-0.042653529,-0.3445390217,-0.1363036846,0.4805498337,-0.203780998,-0.354169089,-0.1846490066,0.0345034617,-0.0293702256,-0.1338176746,0.3323748129,0.2650306242,-0.3877765127,-0.0681407036,-0.4272242581,0.2528605665,0.0418371704,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
339,5,0.2217848006,0.0727735114,-0.3193110538,0.2157221522,0.3242943676,-0.1696532399,-0.2080840152,0.159566807,0.0427063434,0.5391397607,-0.0937072129,0.2024410295,-0.026193264,-0.3248028817,-0.1379812771,0.1395216604,-0.0296719019,-0.0007231163,-0.4152662648,0.3128194567,0.1176349564,0.1296848553,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
340,3,0.2216908502,0.1683886866,0.0534007363,-0.086124465,-0.1282156033,-0.4519524772,-0.2261616573,0.0325006786,0.0765755665,-0.5116087327,-0.3495469952,0.1676532927,-0.3058619097,-0.1842278941,0.2499434324,0.0972326946,-0.0121154759,0.268522112,0.5054231901,-0.223982874,-0.0968790246,0.3705842217,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
