crit_number,index,radius,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15
78,5,0.2248058253,0.4124998989,-0.4468096218,0.0451119865,-0.1044304511,0.3600588003,-0.2628042156,-0.377764197,-0.0841366237,-0.1180743588,-0.2395568173,0.2483311981,0.1512108135,0.1979598935,0.0312183906,-0.2120627069,0.2026585128,0.1905919117,0.2083283492,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
79,5,0.2247355222,-0.2826045303,0.2066193953,-0.3416211944,-0.0664479808,0.2521424618,0.3864469047,0.1897078843,0.1529560684,-0.3668019271,-0.0065941297,-0.2488782472,-0.4117343414,-0.2338492306,-0.1264526913,-0.0437787433,0.1686410233,0.0397037596,0.0676567265,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
80,5,0.2238603421,0.3370965283,-0.0773987081,-0.0101143262,-0.2949977144,0.2101423983,0.3256891548,-0.0594852028,-0.4010623436,0.2495022874,-0.331550309,0.2764720342,-0.1155795824,0.2585772241,0.3600454411,0.0440257358,0.0515192795,0.290971626,-0.3468829835,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
81,5,0.2235903245,0.2964678895,0.0853494939,0.2681364333,-0.1433314214,-0.3026890035,0.1219261245,0.2048735486,-0.051539636,-0.2460609255,-0.4792766364,0.3097128064,-0.0470478291,0.3023068517,-0.3261369779,0.0931640842,-0.2407630297,-0.0280752045,-0.2172860502,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
82,5,0.2235276673,0.1336000004,0.4683127639,0.0738226712,-0.3750244086,-0.2377899202,0.1829229359,0.1715514007,-0.1318120776,0.2700827567,-0.4576368689,0.0595007864,-0.1405765328,-0.1727434777,-0.2771474496,-0.2138035303,0.0957667737,0.0684002308,-0.1223840696,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
83,5,0.2235040074,-0.1169379343,-0.2607601137,-0.1925744276,-0.1842633599,-0.3862336407,0.2311469979,-0.1356019771,0.0997810242,-0.4561610487,-0.4874420337,0.0100513989,0.1532573692,0.2728108262,0.309419231,-0.0763430998,-0.1697583316,0.2584103944,-0.0396442642,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
84,6,0.2234711905,0.0984662078,0.2328746263,0.3080522767,0.3969291192,-0.0142341006,0.0261168474,-0.3101833904,-0.3696868904,0.1045642049,0.1045205028,0.4364401486,-0.2882683025,0.0601863375,-0.1669416772,0.504111112,0.1366909512,-0.3673054497,0.111990069,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1
85,4,0.2234218028,-0.1996076794,-0.2382118066,-0.0534296017,-0.0590687826,0.2840390545,0.3689860405,0.3195973744,0.1171226538,0.2004035195,-0.0508660655,0.0332129532,-0.6054876316,0.1134819675,0.049733163,-0.1902936835,0.1261862867,0.4961547504,-0.2049762112,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
86,2,0.2232791664,0.0746048722,0.2403670804,-0.46992669,-0.2413656177,0.3372586353,0.181943641,0.3769285867,0.1362489346,0.2973131795,-0.0122728845,0.1490668647,0.5158818415,0.2900508312,0.0449487195,-0.1310918518,0.1060213199,0.448057164,-0.0758554012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,4,0.2226716053,0.2453518029,0.2198451702,0.0692545722,-0.2848805874,-0.2024522845,-0.0834948212,-0.1742103682,0.034852278,0.3195259881,-0.4466494071,0.1777532451,-0.2496428901,0.3940806023,-0.041823907,0.397491704,-0.1373746453,0.4381065497,0.1341622959,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
88,4,0.2222699112,-0.4770023655,-0.1595018849,0.1372475949,0.1167365305,0.3140338951,0.2665564968,0.45434021,0.2521220394,-0.0159436473,0.198222009,-0.0380769879,-0.4162591743,0.1068293208,-0.129741667,0.2906552802,-0.1034576534,-0.1228054212,-0.1009400857,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
89,5,0.2220780537,0.1396688984,-0.0022798727,-0.5534475695,0.4586342771,-0.0943629401,-0.0419582805,-0.0991190543,-0.1325856012,-0.0267411834,-0.2801536757,0.2753313314,-0.2223586755,0.20514197,-0.4332349288,0.0928826379,0.1543732527,0.2062863875,-0.1615821017,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
90,6,0.221959128,-0.0164823502,-0.4881470911,0.12950488,0.3318548282,0.163515765,-0.0849788366,-0.3901043014,-0.1145251051,0.3082303378,-0.2945232196,-0.21010622,-0.2637042944,-0.0306573065,-0.0506394997,0.0556834998,-0.2803481819,0.3523861806,-0.1898829775,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0
91,5,0.2215703743,0.3045229657,-0.4603754064,0.0538759381,-0.3540040269,-0.163615135,-0.2927637455,-0.1075934052,0.3656739078,-0.0258749377,-0.2214132307,-0.2332459793,0.1243033347,0.0465559824,0.0385683586,-0.2820265513,-0.2506107065,0.1546379875,0.3365938403,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
92,5,0.2213497445,-0.356517522,0.0816741015,-0.1314697249,0.2015473937,-0.3518790147,0.0659508116,-0.1472229581,-0.4563836672,-0.1858841677,-0.141008618,0.4398995718,0.2537860034,-0.0571568029,0.0174365365,0.3561417283,-0.4173884977,-0.2143977284,0.2444777805,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
93,3,0.2196411542,0.355339344,-0.2082695208,-0.2295731797,0.1893184497,0.1697867019,-0.3795048362,-0.3462825756,0.0901082406,-0.1074659355,0.27566124,0.2561296326,0.0424652663,0.2738188773,-0.3283709728,0.1850338646,-0.0368005182,-0.0177513701,0.1850338201,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
94,3,0.2177604211,-0.0422558712,-0.0183377884,-0.1820073281,0.0676253112,-0.1981735601,0.1991273267,-0.3193748509,-0.2954567682,0.0079625281,0.3604609208,0.0946620494,0.3339346545,0.3302815093,0.4663348248,0.1089303098,0.1959525358,0.3320058513,-0.2829751098,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
95,4,0.2177102723,-0.1237313135,-0.1048758609,-0.2368282409,-0.0114888137,0.3799548857,-0.1886210209,-0.2996820088,0.2339925711,0.1508444946,0.448927736,0.2339926049,-0.2046748302,-0.2996822675,-0.3305868842,0.1508446837,-0.0510722315,0.1694131495,0.5024319342,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
96,4,0.2166906705,0.3453272665,0.030537481,-0.3798014154,-0.1024639564,-0.0464416046,-0.2942438247,0.3599604359,0.3665543112,-0.0100291689,0.2048162401,-0.158949187,0.4358431723,0.1941583547,-0.0326198566,0.0214198423,-0.0035517408,-0.406301372,-0.0739333433,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
97,5,0.2162487678,-0.2835401258,0.257181439,-0.1660991719,-0.4542815173,-0.0457961319,0.2894972606,-0.2070409643,-0.1953904494,-0.3980483844,0.4626569947,-0.1384797626,-0.1247063756,0.0976752395,0.0651932018,-0.2358808346,0.3352467323,0.4491889036,-0.0963582775,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
98,4,0.2160075075,-0.1187333068,0.3986165194,0.3358492647,0.2038973183,0.1452867156,0.0995790489,-0.0427248504,-0.1531647759,-0.0921008569,0.1477649934,-0.2661779806,0.2788150475,0.1221958045,0.0911121652,0.5203247606,-0.0233976788,-0.0350214237,-0.5071979322,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
99,4,0.2159635326,-0.191148472,-0.0727883247,-0.0047482523,-0.01497128,0.1881109703,-0.4235916065,-0.1258091016,0.2989473764,0.2835154474,0.1796099244,-0.0064707115,0.2835152941,-0.4224490124,0.3914705127,-0.0164932563,0.2816687572,0.0955879604,-0.1235829888,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
100,5,0.2157814179,-0.1291650502,-0.0097970154,-0.3630809457,-0.1197954933,-0.4191486609,0.2785481002,0.0014881009,0.0676322562,0.6471760059,0.0241199025,0.176864947,0.2302797333,0.3862155665,0.1555874416,-0.0035588416,-0.2598059954,-0.0872528838,0.0408745137,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
101,4,0.2151067656,-0.0970255231,-0.3048670284,0.113721528,0.2364410122,-0.2213558254,-0.1970366194,0.2927611493,0.453209436,0.0786515296,0.4605859957,0.1448584281,-0.170021266,-0.0923012319,0.264949705,0.1156504299,-0.1428692168,-0.018480106,-0.2040276952,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
102,3,0.2146840563,-0.261647794,0.0004662631,-0.1830083895,0.1705599481,-0.0566797328,0.2726767768,-0.2054921756,-0.2574429968,0.3240176787,0.1705598911,0.2938978604,0.0247809777,-0.0773358784,0.1186090054,-0.5583778089,-0.2054921951,0.4946611981,-0.0265599103,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
103,3,0.2144757197,0.3012557518,-0.1525713544,-0.2842144312,-0.088530106,-0.1440170387,-0.4630807111,0.0598622228,-0.3104514577,0.4316105385,-0.3195719687,0.0492257678,0.1115085921,0.3581800958,-0.2330554232,0.1332556528,0.0856112347,0.0770830163,0.2495299047,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
104,5,0.2141932332,0.2767589471,0.2307864344,0.0791072733,-0.4203260843,-0.4662985835,0.079107609,-0.0259048625,0.1392804207,0.3681336258,0.1852523973,-0.0718773141,-0.2099189736,0.1711803433,0.3363652642,-0.3389729905,-0.1176624052,-0.3747924622,-0.2099188462,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
105,4,0.2138561134,-0.4660558361,0.2573659788,-0.0523241919,-0.42058883,-0.1708618589,-0.0595774215,0.0756883308,0.1753387707,0.24844335,-0.108256378,0.4821372173,0.0139720164,0.4735084875,0.0283281485,0.3038035243,-0.1558077179,-0.1832456208,0.2760940758,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
106,5,0.2138282092,-0.334508886,0.0743683876,0.176561793,-0.0249542046,-0.165621579,0.4207769973,0.172950407,0.0322830326,-0.2671786754,-0.0670395595,0.3418377141,-0.0229634711,0.3697683328,-0.2213538375,0.2659285355,0.2286826655,-0.3624395047,-0.1123302136,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1
107,4,0.2134783922,0.459245053,0.180017771,-0.2253476107,-0.134850813,-0.414078095,-0.0936600736,0.3808036282,0.1643633297,0.1940495485,0.1459687118,-0.0076846032,-0.4465214078,0.0528515613,-0.1008017537,0.1275137235,-0.1191963717,0.1643633298,-0.1595038421,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
108,5,0.2088677774,-0.313965188,0.1233409072,-0.064355126,0.1618296895,-0.2504514662,0.0763411521,0.005154357,0.1754867419,-0.4046107765,0.0877678976,0.0928732013,0.3024960047,0.2503182782,-0.1619628775,-0.3816891753,-0.0283760603,-0.440657216,-0.24326257,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
109,3,0.2085086361,0.2010169468,-0.2873128664,0.1976485389,0.0838916805,-0.0894381832,-0.1502461106,0.1659140262,0.1270033656,0.2294801414,0.3683315026,0.2144261033,-0.1244800769,0.3911511131,-0.3710545378,-0.1639309643,-0.3295176138,-0.0633334633,-0.1983574918,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
110,5,0.2085065988,-0.0299175817,-0.1493874676,0.2288788588,-0.2367477927,0.049652323,-0.2385276329,0.065459509,0.2595508986,-0.4347757964,0.1786136918,0.2115840843,0.2395678065,-0.4272842337,0.1474025874,0.1193001993,-0.1583652451,0.4546530452,0.2040335502,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1
111,3,0.2081189792,-0.0012242052,0.0500895342,0.3651495718,-0.3471457818,0.2878182221,0.1652195669,-0.1759140198,0.0476992791,-0.1285092451,-0.1414701816,0.0821431881,-0.5418871317,0.1184108754,-0.2466251916,-0.1285092452,-0.2615296592,-0.332241379,0.0183549665,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
112,6,0.2078291161,-0.1975510514,-0.2960137577,0.1674811151,-0.0778939896,-0.0883232972,-0.539625666,0.1122774795,0.0578314726,0.1194515914,0.1122774795,0.0578314726,0.5351098237,-0.1965490438,-0.0236893428,-0.1465414561,0.4211040028,0.139352288,-0.1465414561,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1
113,6,0.2077702643,0.3951644472,-0.1159867973,-0.3269449177,0.1451405068,-0.3659900989,0.0266115674,-0.0066755242,0.0045017187,0.5180370724,-0.2030384279,-0.2364873859,0.2422839355,-0.1911946841,-0.2255247596,-0.1729430837,-0.0185206358,-0.0064593094,-0.4809494676,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
114,6,0.2076355013,0.193170009,0.2711793293,0.2284763642,-0.0568185576,-0.478854977,-0.1251087211,-0.2030019425,0.1673384404,-0.3318238469,0.0893626467,-0.1250259789,0.0816419846,0.0725180306,-0.1433666142,-0.3328817006,-0.1861569761,0.1856793864,0.0826998102,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
115,5,0.2075277887,0.2175152538,-0.195402867,0.3459490795,-0.0682447531,0.1496755567,0.3810783064,-0.0256472671,0.4068741712,0.0270460318,0.3891574212,0.3924767749,0.0280040919,-0.3254990258,-0.3067866174,0.0078129575,-0.3109908201,0.106137562,0.047237143,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
116,6,0.2067303977,0.1840628134,-0.4611538743,0.0654222497,0.2802874847,0.1668602234,-0.2296615191,-0.3454886358,-0.1723345328,0.1179012864,0.4287957697,0.1719582077,0.1561741056,-0.3613830245,-0.1820413676,-0.2951398438,0.2295126284,-0.2402339866,-0.281101266,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
117,4,0.2054636038,-0.3976673104,0.0288941768,0.0810487676,0.3141573193,-0.2247456209,0.2949654942,0.3256302418,0.3665460495,0.1288414358,0.0350606538,0.0759768075,0.1288414359,-0.1743698707,0.075976695,0.4823948623,0.0350607506,-0.1334538536,-0.2247119097,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
118,5,0.2018957799,-0.2913630312,0.1739203305,-0.3198298088,0.3629805661,-0.0298124072,-0.365241775,0.1918935596,-0.4022306561,-0.2226106879,0.0494154245,0.3095817268,0.0217159421,-0.01585921,-0.0268402906,0.2352740656,0.0114463983,-0.0452812523,-0.1671709101,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1
119,5,0.2010953238,0.2252684206,-0.1614884486,0.1036028472,0.0279977941,-0.4621467368,0.2837311644,0.1442301075,0.0500405802,-0.2287306882,-0.4460905015,-0.0897031749,0.3240551852,-0.2184205479,0.211400174,-0.1638854832,-0.2470580293,0.2484011429,0.2355743269,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
120,6,0.1999430889,0.2358338541,0.1706265404,-0.005720408,-0.1386846624,-0.2593497152,-0.0260939032,0.4117427052,-0.2569142649,-0.219551978,-0.4994882473,-0.1244252305,0.1471572625,-0.1003793347,0.3707161049,-0.173030487,-0.1770140948,0.1105795374,0.1208487993,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
121,5,0.1985648642,-0.2809886562,-0.4024280892,-0.1664930644,0.2765273653,0.1626514327,-0.2406991368,-0.2248194645,-0.0341393357,-0.028941484,-0.4948434151,-0.1772302195,0.2246804519,0.1601221168,-0.0637757426,0.0640836937,-0.3371384526,0.2292926331,-0.3040779302,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
122,5,0.1954975672,-0.0821835066,0.3032983758,0.3206708123,-0.3111575113,0.4899856206,0.0086246366,-0.0066550477,-0.2055119485,-0.4220068131,-0.1482598377,0.2193014134,-0.2217481115,-0.4527623537,-0.0852010213,0.2088832986,-0.2297087764,-0.1453564835,-0.1065618111,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
123,5,0.193953652,0.3395330185,-0.4429467287,-0.0708578949,-0.1246033059,0.4170363009,-0.0666671171,0.1329108519,0.4303013503,0.258932063,-0.3670892877,-0.0696985427,0.2589330502,0.2700566789,-0.2068445486,0.2589325515,-0.0042352063,0.0674473366,0.2589328115,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
124,5,0.1889822365,-0.2869159834,0.0176188027,0.3053102566,-0.215487412,-0.1966533968,0.0022549371,-0.0012016979,0.1604892571,0.507331353,-0.1440588405,-0.4109404473,-0.3007898814,0.0702268736,-0.0537921969,0.2042825773,0.4273697308,-0.1252246898,0.1032700958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,5,0.1858918373,0.0567582788,0.4201616615,0.041675788,-0.1983224206,0.1591164004,-0.2804689601,-0.4684476459,-0.1506066338,0.0104216766,-0.2825558086,-0.3364984711,-0.2524690809,0.2058970871,-0.0829929815,0.1765545807,-0.1025622264,-0.0987869458,-0.0303910724,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
126,4,0.1830127019,0.1245022404,-0.1481757764,0.5022240074,0.0425858974,-0.297275203,-0.2386603539,0.2388443566,0.3897275743,-0.0907051316,0.3445068256,-0.2932851395,0.0587241134,0.0558316749,0.2067148366,-0.3495241657,0.2388443878,0.0237021705,-0.090705103,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
127,5,0.1784110449,-0.1337179036,0.3545258456,-0.344182245,0.2554198567,-0.3785756628,0.0124957397,-0.3436484158,-0.0402647882,-0.2927083276,0.4063511452,0.2097348495,0.0608450313,-0.248157266,0.1582324241,-0.0119908526,0.0608597284,0.2612378506,0.133681324,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
128,7,0.1666666667,-0.4823030924,0.0084430326,0.1353928352,-0.3430355631,-0.2943495278,0.1297067281,-0.3917399965,-0.1279275703,-0.1549733052,0.1177893046,-0.2992497,0.0926533075,0.1177890093,0.0340836334,0.0926537059,0.1177893775,0.3674169667,0.0926535072,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
129,5,0.1666665956,0.3722037153,0.1109739925,-0.1602047871,-0.4611135023,-0.0557053671,0.0754768998,-0.2944215948,-0.222391211,0.3111475467,-0.0679388309,0.1445620578,-0.5323336124,0.2653946686,-0.1887713977,-0.0609293587,0.0987280861,-0.0221044303,-0.2966314343,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
